our_id,document_link,reviewer_1,reviewer_2,content_area,audience_discipline,reason_audience_discipline,data_science_topics,reason_data_science_topics,observational_unit,reason_observational_unit,department,reason_department,deadline
Banadaki_2022_enabling_data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138273525&partnerID=40&md5=4bcc15cec803e71371d05123abe0108f,4,2,class activity example,STEM instructors,"See Introduction: ""The goal of this paper is to encourage the implementation of interdisciplinary DS-intensive projects for STEM students.""",machine learning; neural networks; image analysis; pattern recognition;  anomaly detection; cybersecurity,Sec 3.1 through 3.4,"students taking part in supervised undergraduate research experiences in Mechanical Engineering, Biomedical science, Quantum Physics, and Cybersecurity",See Abstract and Sec 2 (paragraph 4),not applicable,not applicable,Oct 27
Price_2020_challenges,https://doi.org/10.1109/cic48465.2019.00015,5,2,course example,information technology,"See Introduction ""Our students are enrolled in an Information Technology degree rather than a Computer Science degree"". The paper offers insights for instructors of students in this major.",operating systems; distributed systems; Hadoop setup; data storage; programming; unix; operating systems,See abstract,Information Technology students,"See Sec III, first sentence",not specified,not specified,Oct 27
Yamamoto_2021_development,https://doi.org/10.18178/ijiet.2021.11.4.1505,2,1,class activity example,NA,NA,NA,NA,NA,NA,NA,NA,Nov 3
Raj_2019_empirical_approach,https://doi.org/10.1145/3344429.3372503,1,2,review of current state of data science education,NA,NA,NA,NA,NA,NA,NA,NA,Nov 10
Mike_2020_interdisciplinary_education,https://doi.org/10.1109/EDUCON45650.2020.9125200,1,2,pedagogical approach,NA,NA,NA,NA,NA,NA,NA,NA,Nov 10
Pieterman_2022_integration,https://doi.org/10.1007/s11191-022-00363-x,3,2,course example and pedagogical approach,NA,NA,NA,NA,NA,NA,NA,NA,Nov 3
Ryan_2016_the_data,https://doi.org/10.1016/b978-0-12-803844-4.00005-4,3,2,review of current state of data science education,NA,NA,NA,NA,NA,NA,NA,NA,Nov 3
Shao_2021_exploring_potential,https://doi.org/10.1016/j.acalib.2021.102320,2,3,pedagogical approach and review of current state of data science education,NA,NA,NA,NA,NA,NA,NA,NA,Nov 10
Sinha_2022_embodied_agents,https://doi.org/10.1007/978-3-031-11647-6_26,2,3,education technology,NA,NA,NA,NA,NA,NA,NA,NA,Nov 10
Song_2017_big_data,https://doi.org/10.1515/jdis-2017-0011,3,2,program example,NA,NA,NA,NA,NA,NA,NA,NA,Nov 10
Rubel_2021_critical_mathematics,https://doi.org/10.1007/s10649-021-10087-4,2,3,pedagogical approach,NA,NA,NA,NA,NA,NA,NA,NA,Nov 10
Hoyt_2020_overview,https://doi.org/10.1093/jamiaopen/ooy040,4,2,education technology,NA,NA,NA,NA,NA,NA,NA,NA,Nov 3
Konkol'ová_2018_active_learning,https://doi.org/10.1109/ICETA.2018.8572219,2,4,education technology and pedagogical approach,NA,NA,NA,NA,NA,NA,NA,NA,Nov 10
Schmitt_2021_evaluation_edisons,https://doi.org/10.3934/fods.2021031,4,2,review of current state of data science education,NA,NA,NA,NA,NA,NA,NA,NA,Nov 10
Hassan_2019_embedding_data,https://doi.org/10.1109/EIT.2019.8833753,5,2,program example,NA,NA,NA,NA,NA,NA,NA,NA,Nov 3
Haynes_2019_integrating_data,https://doi.org/10.1145/3349266.3351417,2,5,course example,NA,NA,NA,NA,NA,NA,NA,NA,Nov 3
Kakeshita_2022_development,https://doi.org/10.1007/978-3-030-97986-7_13,5,2,program example,NA,NA,NA,NA,NA,NA,NA,NA,Nov 10
Oliver_2021_undergraduate_data,https://doi.org/10.7717/peerj-cs.441,2,5,review of current state of data science education,NA,NA,NA,NA,NA,NA,NA,NA,Nov 10
Zheng_2022_pressure_test,https://doi.org/10.1145/3537674.3554748,5,2,pedagogical approach,NA,NA,NA,NA,NA,NA,NA,NA,Nov 10
