our_id,document_link,reviewer_1,reviewer_2,content_area,audience_discipline,reason_audience_discipline,data_science_topics,reason_data_science_topics,observational_unit,reason_observational_unit,department,reason_department,deadline
Sorensen_2018_evaluating_computational,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103846829&partnerID=40&md5=0ad9e8c92019d355ad332a73d555acf6,3,1,pedagogical approach,computer science,p.115,NA,NA,"students (undergraduate students who have
already completed at least two courses in computer science) who took an introductory data science course at Wellesley College, a female population, in either Spring 2016 or Fall 2017. ",p.116,computer science,p.115,10-Nov
Vance_2022_integrating,https://doi.org/10.52041/serj.v21i2.42,1,3,course example,broad,type 0 students to typw 1 students,NA,NA,not applicable,NA,not applicable,NA,10-Nov
Shao_2021_exploring_potential,https://doi.org/10.1016/j.acalib.2021.102320,2,3,pedagogical approach and review of current state of data science education,broad,observational unit,NA,NA,teaching content and topics of over 100 data science related courses at Purdue University,NA,not applicable,NA,10-Nov
Sinha_2022_embodied_agents,https://doi.org/10.1007/978-3-031-11647-6_26,2,3,education technology,broad,abstract,NA,NA,not applicable,NA,not applicable,NA,10-Nov
Song_2017_big_data,https://doi.org/10.1515/jdis-2017-0011,3,2,program example,information science,ischools,NA,NA,not applicable,NA,not applicable,NA,10-Nov
Rubel_2021_critical_mathematics,https://doi.org/10.1007/s10649-021-10087-4,2,3,pedagogical approach,math education,the aim of the study within the abstract,NA,NA,"data visualization examples published by The New York Times between March 22–May 27, 2020",NA,mathematics education,abstract,10-Nov
Manzella_2022_six,https://doi.org/10.1016/b978-0-12-823427-3.00005-0,3,4,call to action,ocean science,paper itself,NA,NA,not applicable,NA,ocean science,they mentioned data science within the context of oceanography,10-Nov
Robeva_2020_changing,https://doi.org/10.1007/s11538-020-00785-0,3,4,call to action,biological science; medical science,abstract,NA,NA,not sure,NA,biological science; medical science,abstract,10-Nov
Shapiro_2020_reshape,https://doi.org/10.1145/3313831.3376251,3,4,class activity example and education technology,computer science,abstract,NA,NA,"a computer science ethics course with 40 undergraduate computer science students at a large, public research-intensive university.",NA,computer science,abstract,10-Nov
Farahi_2018_michigan_data,https://doi.org/10.1109/DSW.2018.8439915,3,5,program example,broad,p.121,NA,NA,michigan data science team members,NA,not applicable,NA,10-Nov
Demchenko_2021_edison_data,https://doi.org/10.1109/educon46332.2021.9453997,3,1,program example,broad,this is a framework developed for different types of learners and target application domains.,NA,NA,not applicable,NA,not applicable,NA,3-Nov
Green_2019_livedatalab,https://doi.org/10.1145/3330430.3333665,1,3,education technology,broad,"LiveDataLab to easily support many more courses and provide
learners hands-on data science education at the largest
scale possible",NA,NA,not applicable,NA,computer science,I am not sure if this is applicable to data science program as they did not mention this explicitly,3-Nov
Pieterman_2022_integration,https://doi.org/10.1007/s11191-022-00363-x,3,2,course example and pedagogical approach,biomedical science,the article talks about biomedical science education in general,NA,NA,not applicable,NA,biomedical science,same as audience,3-Nov
Ryan_2016_the_data,https://doi.org/10.1016/b978-0-12-803844-4.00005-4,3,2,review of current state of data science education,broad,they compiled several studies to talk about data science education,NA,NA,"surveys, studies",NA,not applicable,NA,3-Nov
Hagen_2020_teaching_undergraduate,https://doi.org/10.3233/efi-200372,3,4,course example and program example,information science,heading of the article,NA,NA,students taking Introduction to Data Science in  an undergraduate information science degree program (BSIS) with a concentration in Data Science and Analytics,NA,information science,they explicitly mentioned this throughout the paper,3-Nov
Li_2021_exploring_interdisciplinary,https://doi.org/10.1007/978-3-030-71292-1_43,4,3,review of current state of data science education,broad,abstract,NA,NA,"literature indexed by the following databases: (1) Web of Science (WoS), (2) Scopus, and (3) ACM Digital Library (ACM DL) with three keywords as (1) data science, (2) education, and (3) undergraduate; two frontier data science educators",NA,data science,abstract,3-Nov
Liu_2020_how,https://doi.org/10.1109/csei50228.2020.9142534,4,3,education technology,broad,heading of the article,NA,NA,yahoo finance server data?,NA,data science,they did not specifically mention a department,3-Nov
